DATE,IR
1946-01-01,
1946-02-01,
1946-03-01,
1946-04-01,
1946-05-01,
1946-06-01,
1946-07-01,
1946-08-01,
1946-09-01,
1946-10-01,
1946-11-01,
1946-12-01,0.325
1947-01-01,0.322
1947-02-01,0.326
1947-03-01,0.318
1947-04-01,0.302
1947-05-01,0.288
1947-06-01,0.328
1947-07-01,0.378
1947-08-01,0.528
1947-09-01,0.742
1947-10-01,0.732
1947-11-01,0.814
1947-12-01,0.904
1948-01-01,0.959
1948-02-01,0.968
1948-03-01,0.978
1948-04-01,0.984
1948-05-01,0.987
1948-06-01,0.975
1948-07-01,0.992
1948-08-01,1.063
1948-09-01,1.082
1948-10-01,1.084
1948-11-01,1.101
1948-12-01,1.11
1949-01-01,1.126
1949-02-01,1.139
1949-03-01,1.114
1949-04-01,1.123
1949-05-01,1.092
1949-06-01,1.016
1949-07-01,0.96
1949-08-01,0.982
1949-09-01,1.01
1949-10-01,0.985
1949-11-01,1.011
1949-12-01,1.035
1950-01-01,1.072
1950-02-01,1.1
1950-03-01,1.084
1950-04-01,1.112
1950-05-01,1.136
1950-06-01,1.129
1950-07-01,1.158
1950-08-01,1.246
1950-09-01,1.291
1950-10-01,1.184
1950-11-01,1.307
1950-12-01,1.25
1951-01-01,1.209
1951-02-01,1.21
1951-03-01,1.439
1951-04-01,1.329
1951-05-01,1.344
1951-06-01,1.382
1951-07-01,1.491
1951-08-01,1.538
1951-09-01,1.596
1951-10-01,1.258
1951-11-01,1.388
1951-12-01,1.696
1952-01-01,1.332
1952-02-01,1.342
1952-03-01,1.374
1952-04-01,1.579
1952-05-01,1.642
1952-06-01,1.747
1952-07-01,1.802
1952-08-01,1.712
1952-09-01,1.459
1952-10-01,1.589
1952-11-01,1.781
1952-12-01,1.941
1953-01-01,1.819
1953-02-01,2.019
1953-03-01,1.987
1953-04-01,2.062
1953-05-01,1.935
1953-06-01,1.606
1953-07-01,1.936
1953-08-01,1.79
1953-09-01,1.22
1953-10-01,0.975
1953-11-01,1.439
1953-12-01,1.248
1954-01-01,0.958
1954-02-01,0.887
1954-03-01,0.985
1954-04-01,0.673
1954-05-01,0.603
1954-06-01,0.62
1954-07-01,0.679
1954-08-01,1.107
1954-09-01,0.903
1954-10-01,0.845
1954-11-01,0.929
1954-12-01,0.949
1955-01-01,1.097
1955-02-01,1.139
1955-03-01,1.328
1955-04-01,1.496
1955-05-01,1.152
1955-06-01,1.271
1955-07-01,1.667
